"game_id","game_date","OT","H_A","Team_Abbrev","Team_Score","Team_pace","Team_efg_pct","Team_tov_pct","Team_orb_pct","Team_ft_rate","Team_off_rtg","Inactives","Opponent_Abbrev","Opponent_Score","Opponent_pace","Opponent_efg_pct","Opponent_tov_pct","Opponent_orb_pct","Opponent_ft_rate","Opponent_off_rtg","player","player_id","starter","mp","fg","fga","fg_pct","fg3","fg3a","fg3_pct","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","plus_minus","did_not_play","is_inactive","ts_pct","efg_pct","fg3a_per_fga_pct","fta_per_fga_pct","orb_pct","drb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","off_rtg","def_rtg","bpm","season","minutes","double_double","triple_double","DKP","FDP","SDP","DKP_per_minute","FDP_per_minute","SDP_per_minute","pf_per_minute","ts","last_60_minutes_per_game_starting","last_60_minutes_per_game_bench","PG%","SG%","SF%","PF%","C%","active_position_minutes"
"202211040BOS",2022-11-04,0,"H","BOS",123,104.5,0.548,11.5,17.5,0.386,117.7,"JD Davison, Danilo Gallinari, Mfiondu Kabengele, Robert Williams","CHI",119,104.5,0.584,15.3,11.1,0.265,113.9,"Luke Kornet","kornelu01",0,"14:30",1,3,0.333,0,1,0,2,2,1,1,2,3,1,2,2,0,1,4,17,0,0,0.515,0.333,0.333,0.667,8.3,18.4,13.1,8.8,6.3,12,0,11.4,130,93,9.4,2023,14.5,0,0,17.25,21.1,21.25,"1.18965517241379","1.4551724137931","1.46551724137931",0.0689655172413793,3.88,12.0490697223027,8.37142857142857,0,0,0,0,100,53.313753968254
"202211040BOS",2022-11-04,0,"H","BOS",123,104.5,0.548,11.5,17.5,0.386,117.7,"JD Davison, Danilo Gallinari, Mfiondu Kabengele, Robert Williams","CHI",119,104.5,0.584,15.3,11.1,0.265,113.9,"Blake Griffin","griffbl01",0,"0:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,NA,NA,NA,NA,0,7.18968949868917,4.9952380952381,0,0,0,49,51,51.8069145238095
"202211040BOS",2022-11-04,0,"H","BOS",123,104.5,0.548,11.5,17.5,0.386,117.7,"JD Davison, Danilo Gallinari, Mfiondu Kabengele, Robert Williams","CHI",119,104.5,0.584,15.3,11.1,0.265,113.9,"Payton Pritchard","pritcpa01",0,"0:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,NA,NA,NA,NA,0,3.39951000128678,2.36190476190476,100,0,0,0,0,50.3847142857143
"202211040BOS",2022-11-04,0,"H","BOS",123,104.5,0.548,11.5,17.5,0.386,117.7,"JD Davison, Danilo Gallinari, Mfiondu Kabengele, Robert Williams","CHI",119,104.5,0.584,15.3,11.1,0.265,113.9,"Justin Jackson","jacksju01",0,"0:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,NA,NA,NA,NA,0,1.87795512167858,1.3047619047619,0,100,0,0,0,49.7735119047619
"202211040BOS",2022-11-04,0,"H","BOS",123,104.5,0.548,11.5,17.5,0.386,117.7,"JD Davison, Danilo Gallinari, Mfiondu Kabengele, Robert Williams","CHI",119,104.5,0.584,15.3,11.1,0.265,113.9,"Noah Vonleh","vonleno01",0,"0:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,NA,NA,NA,NA,0,13.8166666666667,9.88888888888889,0,0,0,1,99,53.2830021428571
"202211040DAL",2022-11-04,0,"A","TOR",110,96.2,0.506,16.1,41.9,0.239,114.3,"Khem Birch, Justin Champagnie, Ron Harper Jr., Fred VanVleet","DAL",111,96.2,0.584,17,18.8,0.273,115.4,"OG Anunoby","anunoog01",1,"38:11",11,21,0.524,4,6,0.667,1,1,1,2,5,7,1,5,0,4,4,27,-2,0,0,0.63,0.619,0.286,0.048,5.8,19.6,11.7,5,6.5,0,15.7,27.1,117,106,7.7,2023,38.1833333333333,0,0,47.25,47.9,50.25,"1.23745089480576","1.25447402880838","1.31601920558708",0.104757747708424,21.44,34.10625,23.6962721848803,2,41,57,1,0,52.5209968472222
"202211040DAL",2022-11-04,0,"A","TOR",110,96.2,0.506,16.1,41.9,0.239,114.3,"Khem Birch, Justin Champagnie, Ron Harper Jr., Fred VanVleet","DAL",111,96.2,0.584,17,18.8,0.273,115.4,"Scottie Barnes","barnesc01",1,"38:05",4,12,0.333,1,6,0.167,2,2,1,3,8,11,10,1,0,5,0,11,1,0,0,0.427,0.375,0.5,0.167,8.8,31.5,18.5,37.1,1.3,0,28,19.1,100,116,1.3,2023,38.0833333333333,1,1,44.25,37.2,42.75,"1.16192560175055","0.976805251641138","1.12253829321663",0,12.88,29.2,20.2875176191609,0,2,36,59,3,50.6491939861111
"202211040DAL",2022-11-04,0,"A","TOR",110,96.2,0.506,16.1,41.9,0.239,114.3,"Khem Birch, Justin Champagnie, Ron Harper Jr., Fred VanVleet","DAL",111,96.2,0.584,17,18.8,0.273,115.4,"Gary Trent Jr.","trentga02",1,"36:28",3,12,0.25,1,7,0.143,5,6,0.833,0,0,0,0,1,0,2,2,12,-7,0,0,0.41,0.292,0.583,0.5,0,0,0,0,1.4,0,12,18.6,90,121,-9.9,2023,36.4666666666667,0,0,13.5,13,13.5,"0.370201096892139","0.356489945155393","0.370201096892139",0.0548446069469835,14.64,35.6854166666667,24.7934424442499,35,63,2,0,0,43.4270385277778
"202211040DAL",2022-11-04,0,"A","TOR",110,96.2,0.506,16.1,41.9,0.239,114.3,"Khem Birch, Justin Champagnie, Ron Harper Jr., Fred VanVleet","DAL",111,96.2,0.584,17,18.8,0.273,115.4,"Pascal Siakam","siakapa01",1,"31:15",7,14,0.5,0,2,0,4,6,0.667,4,3,7,6,1,0,2,3,18,-7,0,0,0.541,0.5,0.143,0.429,14.3,14.4,14.3,32.6,1.6,0,10.7,24.3,127,118,5.6,2023,31.25,0,0,36.75,36.4,36.75,"1.176","1.1648","1.176",0.096,16.64,36.1666666666667,25.1278043570657,0,0,0,42,58,46.9913415833333
"202211040DAL",2022-11-04,0,"A","TOR",110,96.2,0.506,16.1,41.9,0.239,114.3,"Khem Birch, Justin Champagnie, Ron Harper Jr., Fred VanVleet","DAL",111,96.2,0.584,17,18.8,0.273,115.4,"Christian Koloko","kolokch01",1,"11:49",1,2,0.5,0,1,0,0,0,0,2,0,2,0,0,1,2,4,2,-12,0,0,0.5,0.5,0.5,0,18.9,0,10.8,0,0,9.4,50,13.8,67,117,-14.2,2023,11.8166666666667,0,0,5.5,5.4,5.5,"0.465444287729196","0.456981664315938","0.465444287729196",0.338504936530324,2,20.7444444444444,13.7466666666667,0,0,0,0,100,45.0922083333333
"202211040DAL",2022-11-04,0,"A","TOR",110,96.2,0.506,16.1,41.9,0.239,114.3,"Khem Birch, Justin Champagnie, Ron Harper Jr., Fred VanVleet","DAL",111,96.2,0.584,17,18.8,0.273,115.4,"Chris Boucher","bouchch01",0,"29:37",6,13,0.462,2,6,0.333,3,4,0.75,4,5,9,1,0,1,0,4,17,20,0,0,0.576,0.538,0.462,0.308,15.1,25.3,19.4,5.5,0,3.8,0,20.3,145,118,3.5,2023,29.6166666666667,0,0,32.75,32.3,33.75,"1.10579628587507","1.09060213843557","1.13956105796286",0.135059088351154,14.76,28.0089467162471,19.46,0,27,63,11,0,52.7866367083333
"202211040DAL",2022-11-04,0,"A","TOR",110,96.2,0.506,16.1,41.9,0.239,114.3,"Khem Birch, Justin Champagnie, Ron Harper Jr., Fred VanVleet","DAL",111,96.2,0.584,17,18.8,0.273,115.4,"Precious Achiuwa","achiupr01",0,"26:36",4,9,0.444,1,3,0.333,6,6,1,3,5,8,2,0,1,2,1,15,2,0,0,0.644,0.5,0.333,0.667,12.6,28.2,19.2,11.4,0,4.2,14.7,20.9,135,117,5,2023,26.6,0,0,29.5,28.6,29.5,"1.10902255639098","1.07518796992481","1.10902255639098",0.037593984962406,11.64,31.9646467106879,22.2083333333333,0,0,18,53,28,48.4104705416667
"202211040DAL",2022-11-04,0,"A","TOR",110,96.2,0.506,16.1,41.9,0.239,114.3,"Khem Birch, Justin Champagnie, Ron Harper Jr., Fred VanVleet","DAL",111,96.2,0.584,17,18.8,0.273,115.4,"Otto Porter Jr.","porteot01",0,"20:33",2,3,0.667,2,3,0.667,0,0,0,0,0,0,0,2,0,0,1,6,7,0,0,1,1,1,0,0,0,0,0,4.9,0,0,5.9,211,113,7.4,2023,20.55,0,0,11,12,13,"0.535279805352798","0.583941605839416","0.632603406326034",0.048661800486618,3,15.1367295117779,10.5166666666667,36,47,17,0,0,43.2388323611111
"202211040DAL",2022-11-04,0,"A","TOR",110,96.2,0.506,16.1,41.9,0.239,114.3,"Khem Birch, Justin Champagnie, Ron Harper Jr., Fred VanVleet","DAL",111,96.2,0.584,17,18.8,0.273,115.4,"Thaddeus Young","youngth01",0,"3:50",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,50,21.2,73,123,-16,2023,3.83333333333333,0,0,1.5,1,1,"0.391304347826087","0.260869565217391","0.260869565217391",0.521739130434783,1,7.2685087829932,5.05,0,13,65,22,0,51.9787610555556
"202211040DAL",2022-11-04,0,"A","TOR",110,96.2,0.506,16.1,41.9,0.239,114.3,"Khem Birch, Justin Champagnie, Ron Harper Jr., Fred VanVleet","DAL",111,96.2,0.584,17,18.8,0.273,115.4,"Dalano Banton","bantoda01",0,"3:36",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-7,0,0,0,0,0,0,0,0,0,0,0,31,50,22.6,0,103,-20.4,2023,3.6,0,0,1.5,2,2,"0.416666666666667","0.555555555555556","0.555555555555556",0.277777777777778,1,12.0512115506806,8.37291666666667,55,42,3,0,0,38.3652468888889
"202211040DAL",2022-11-04,0,"A","TOR",110,96.2,0.506,16.1,41.9,0.239,114.3,"Khem Birch, Justin Champagnie, Ron Harper Jr., Fred VanVleet","DAL",111,96.2,0.584,17,18.8,0.273,115.4,"Juancho Hernangomez","hernaju01",0,"0:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,NA,NA,NA,NA,0,4.25495625539082,2.95625,0,0,16,62,22,49.1158320833333
"202211040DAL",2022-11-04,0,"A","TOR",110,96.2,0.506,16.1,41.9,0.239,114.3,"Khem Birch, Justin Champagnie, Ron Harper Jr., Fred VanVleet","DAL",111,96.2,0.584,17,18.8,0.273,115.4,"Jeff Dowtin","dowtije01",0,"0:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,NA,NA,NA,NA,0,2.00703597858228,1.39444444444444,38,62,0,0,0,42.6584387222222
"202211040DAL",2022-11-04,0,"A","TOR",110,96.2,0.506,16.1,41.9,0.239,114.3,"Khem Birch, Justin Champagnie, Ron Harper Jr., Fred VanVleet","DAL",111,96.2,0.584,17,18.8,0.273,115.4,"Malachi Flynn","flynnma01",0,"0:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,NA,NA,NA,NA,0,6.99563984765806,4.86041666666667,100,0,0,0,0,26.9534305555556
"202211040DAL",2022-11-04,0,"H","DAL",111,96.2,0.584,17,18.8,0.273,115.4,"Davis Bertans, Tyler Dorsey, Jaden Hardy, Frank Ntilikina, McKinley Wright IV","TOR",110,96.2,0.506,16.1,41.9,0.239,114.3,"Spencer Dinwiddie","dinwisp01",1,"37:59",8,17,0.471,3,8,0.375,2,2,1,0,1,1,7,2,0,2,4,21,0,0,0,0.587,0.559,0.471,0.118,0,2.9,1.7,30.6,2.6,0,10.1,23.7,119,119,1.7,2023,37.9833333333333,0,0,37.25,36.7,38.25,"0.980693286529179","0.966213251426064","1.0070206230803",0.105309346204476,17.88,31.947619047619,22.1965028876305,97,3,0,0,0,49.1171635714286
